GeneID,Symbol,AC409,HSTS,validated
942,CD86,1.90E-94,7.00E-114,1
10320,IKZF1,7.50E-64,5.60E-77,1
4261,CIITA,5.50E-56,3.00E-70,1
6688,SPI1,2.10E-39,1.10E-72,1
22806,IKZF3,1.10E-34,9.00E-38,1
5450,POU2AF1,1.40E-34,1.00E-39,1
3603,IL16,5.50E-34,6.70E-28,1
4332,MNDA,1.50E-33,6.90E-58,1
864,RUNX3,6.60E-33,5.10E-32,1
3059,HCLS1,2.20E-29,8.40E-29,1
3683,ITGAL,3.50E-15,2.00E-15,1
9477,MED20,1.50E-14,1,0
8320,EOMES,1.90E-14,3.80E-14,1
5788,PTPRC,5.80E-14,4.40E-18,1
64919,BCL11B,3.00E-13,4.60E-14,1
11262,SP140,7.10E-13,7.90E-21,1
2672,GFI1,7.90E-13,2.00E-10,1
3662,IRF4,9.90E-13,5.30E-19,1
962,CD48,6.20E-12,9.80E-10,1
64333,ARHGAP9,1.20E-11,8.70E-25,1
83879,CDCA7,1.30E-11,4.30E-18,1
3428,IFI16,2.10E-11,1.50E-22,1
3383,ICAM1,3.90E-11,5.30E-16,1
963,CD53,2.00E-10,1.80E-18,1
7133,TNFRSF1B,8.80E-10,1.10E-20,1
2533,FYB,9.90E-10,6.10E-14,1
6188,RPS3,1.60E-09,2.10E-19,1
29775,CARD10,2.00E-09,1,0
5452,POU2F2,3.20E-09,5.00E-14,1
5341,PLEK,4.90E-09,2.50E-11,1
2123,EVI2A,5.00E-09,2.60E-13,1
10865,ARID5A,2.50E-08,1.60E-27,1
9516,LITAF,3.40E-08,6.30E-10,1
9021,SOCS3,3.50E-08,7.20E-02,0
3586,IL10,3.70E-08,4.50E-07,1
10691,GMEB1,5.80E-08,1.00E+00,0
3174,HNF4G,8.40E-08,1.00E+00,0
2625,GATA3,8.50E-08,3.10E-08,1
254251,LCORL,1.00E-07,1.00E+00,0
3594,IL12RB1,1.90E-07,8.10E-12,1
