"gene_name","entrez_id","gene_chromosome","gene_strand","gene_start","gene_end","cis_start","cis_end","sample","is_nepc","has_rnaseq","rnaseq_id","has_fusion","insertion_chr","insertion_start","insertion_end","insertion_midpoint","read_count","insertion_strand","distance_to_gene","is_distant","is_exonic","is_same_strand","classification","tss_position","distance_from_tss","is_promoter_proximal","intron_number","pct_into_transcript","is_early_intronic","sb_mechanism"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B3-c-9",FALSE,FALSE,NA,FALSE,"chr12",3440150,3440250,3440200,3632,"-",13189,TRUE,FALSE,FALSE,"distant",3427011,-13189,FALSE,NA,-57.01,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"N-A04",FALSE,TRUE,"CMZ101",FALSE,"chr12",3442750,3442850,3442800,7921,"-",15789,TRUE,FALSE,FALSE,"distant",3427011,-15789,FALSE,NA,-68.25,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B-A04",FALSE,TRUE,"CMZ101",FALSE,"chr12",3442750,3442850,3442800,25242,"-",15789,TRUE,FALSE,FALSE,"distant",3427011,-15789,FALSE,NA,-68.25,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B-1-2",TRUE,TRUE,"CMZ346",FALSE,"chr12",3471050,3471150,3471100,1004,"-",44089,TRUE,FALSE,FALSE,"distant",3427011,-44089,FALSE,NA,-190.59,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B-1-4",FALSE,FALSE,NA,FALSE,"chr12",3473850,3473950,3473900,33,"+",46889,TRUE,FALSE,TRUE,"distant",3427011,-46889,FALSE,NA,-202.69,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B-B09",TRUE,TRUE,"CMZ104",FALSE,"chr12",3478350,3478450,3478400,2733,"-",51389,TRUE,FALSE,FALSE,"distant",3427011,-51389,FALSE,NA,-222.15,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"B-B10",FALSE,FALSE,NA,FALSE,"chr12",3497850,3497950,3497900,15259,"+",70889,TRUE,FALSE,TRUE,"distant",3427011,-70889,FALSE,NA,-306.44,FALSE,"disruption"
"1110002L01Rik","100043040","chr12","-",3403878,3427011,3440200,3510200,"N-B10",FALSE,FALSE,NA,FALSE,"chr12",3497850,3497950,3497900,396,"+",70889,TRUE,FALSE,TRUE,"distant",3427011,-70889,FALSE,NA,-306.44,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"N3-1-11",TRUE,FALSE,NA,FALSE,"chr19",21659950,21660050,21660000,1224,"-",7024,TRUE,FALSE,FALSE,"distant",21652976,-7024,FALSE,NA,-9.79,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"B3-1-11",TRUE,FALSE,NA,FALSE,"chr19",21659950,21660050,21660000,1576,"-",7024,TRUE,FALSE,FALSE,"distant",21652976,-7024,FALSE,NA,-9.79,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"B3-1-3",TRUE,TRUE,"CMZ104",FALSE,"chr19",21671450,21671550,21671500,7626,"+",18524,TRUE,FALSE,TRUE,"distant",21652976,-18524,FALSE,NA,-25.81,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"N3-1-3",TRUE,TRUE,"CMZ104",FALSE,"chr19",21671450,21671550,21671500,7737,"+",18524,TRUE,FALSE,TRUE,"distant",21652976,-18524,FALSE,NA,-25.81,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"B-1-4",FALSE,FALSE,NA,FALSE,"chr19",21674950,21675050,21675000,22,"-",22024,TRUE,FALSE,FALSE,"distant",21652976,-22024,FALSE,NA,-30.69,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"N-B02",TRUE,FALSE,NA,FALSE,"chr19",21689350,21689450,21689400,413,"-",36424,TRUE,FALSE,FALSE,"distant",21652976,-36424,FALSE,NA,-50.75,FALSE,"disruption"
"1110059E24Rik","66206","chr19","-",21581202,21652976,21660000,21699000,"N-A08",TRUE,FALSE,NA,FALSE,"chr19",21694650,21694750,21694700,1380,"+",41724,TRUE,FALSE,TRUE,"distant",21652976,-41724,FALSE,NA,-58.13,FALSE,"disruption"
"1700102P08Rik","112418","chr9","+",108392805,108410934,108217900,108425900,"B-A04",FALSE,TRUE,"CMZ101",FALSE,"chr9",108217850,108217950,108217900,5236,"+",174905,TRUE,FALSE,TRUE,"distant",108392805,-174905,FALSE,NA,-964.78,FALSE,"disruption"
"1700102P08Rik","112418","chr9","+",108392805,108410934,108217900,108425900,"B3-5",FALSE,FALSE,NA,FALSE,"chr9",108220550,108220650,108220600,539,"+",172205,TRUE,FALSE,TRUE,"distant",108392805,-172205,FALSE,NA,-949.89,FALSE,"disruption"
"1700102P08Rik","112418","chr9","+",108392805,108410934,108217900,108425900,"N3-13",FALSE,FALSE,NA,FALSE,"chr9",108301150,108301250,108301200,2171,"-",91605,TRUE,FALSE,FALSE,"distant",108392805,-91605,FALSE,NA,-505.3,FALSE,"disruption"
"1700102P08Rik","112418","chr9","+",108392805,108410934,108217900,108425900,"N3-10",FALSE,FALSE,NA,FALSE,"chr9",108301150,108301250,108301200,2576,"-",91605,TRUE,FALSE,FALSE,"distant",108392805,-91605,FALSE,NA,-505.3,FALSE,"disruption"
"1700102P08Rik","112418","chr9","+",108392805,108410934,108217900,108425900,"B3-10",FALSE,FALSE,NA,FALSE,"chr9",108301150,108301250,108301200,7330,"-",91605,TRUE,FALSE,FALSE,"distant",108392805,-91605,FALSE,NA,-505.3,FALSE,"disruption"
