Table S7: Differential analysis of somatic copy number and gene expression,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo_Symbol,Ensembl ID,RefSeq ID,Chromomosme,Strand,Start,End,Cytoband,CRPC-Adeno mean expression,CRPC-NE mean expression,VALID,# CRPC-NE neutral,# CRPC-NE deleted,# CRPC-NE amplified,# CRPC-Adeno neutral,# CRPC-Adeno deleted,# CRPC-Adeno amplified,P-val expression,P-val deletion,P-val amplification,FDR expression,FDR deletion,FDR amplification,% CRPC-NE deletion,% CRPC-Adeno deletion,% CRPC-NE amplification,% CRPC-Adeno amplification,Is cancer gene
CYLD,ENSG00000083799.13,NM_015247.2,16,F,50775960,50835846,q12.1,2.321505877,1.704829815,TRUE,15,22,6,36,6,11,0.000256359,5.23E-05,0.549005097,0.00356821,0.035649474,1,0.511627907,0.113207547,0.139534884,0.20754717,TRUE
CIITA,ENSG00000179583.13,NM_000246.3,16,F,10971054,11026079,p13.13,2.227241646,1.276732274,TRUE,18,11,14,28,0,25,0.000189222,0.000329453,0.214746367,0.002951088,0.042043726,1,0.255813953,0,0.325581395,0.471698113,TRUE
CREBBP,ENSG00000005339.8,NM_004380.2,16,R,3775054,3930727,p13.3,3.029078835,2.587039912,TRUE,18,10,15,27,0,26,0.002397334,0.000742598,0.234610955,0.015589225,0.042043726,1,0.23255814,0,0.348837209,0.490566038,TRUE
ERCC4,ENSG00000175595.10,NM_005236.2,16,F,14014013,14046202,p13.12,1.204618421,0.919612703,TRUE,18,10,15,30,0,23,0.016329081,0.000742598,0.523292119,0.058214995,0.042043726,1,0.23255814,0,0.348837209,0.433962264,TRUE
FUS,ENSG00000089280.14,NM_001170634.1,16,F,31191430,31203127,p11.2,4.735355578,4.917658145,TRUE,18,10,15,32,0,21,0.70730387,0.000742598,0.791036745,0.80794085,0.042043726,1,0.23255814,0,0.348837209,0.396226415,TRUE
HERPUD1,ENSG00000051108.10,,16,F,56965959,56977798,q13,4.696026504,3.636047529,TRUE,19,20,4,35,6,12,0.000729105,0.000286256,0.141945986,0.007031261,0.042043726,1,0.465116279,0.113207547,0.093023256,0.226415094,TRUE
IL21R,ENSG00000103522.11,NM_181078.2,16,F,27413482,27462115,p12.1,0.707812072,0.439725884,TRUE,18,11,14,32,0,21,0.017383273,0.000329453,0.615716921,0.060889459,0.042043726,1,0.255813953,0,0.325581395,0.396226415,TRUE
MMP2,ENSG00000087245.8,NM_004530.4,16,F,55423611,55540603,q12.2,3.109455673,1.941549371,TRUE,18,21,4,35,7,11,0.012641396,0.000326207,0.209781785,0.04851308,0.042043726,1,0.488372093,0.132075472,0.093023256,0.20754717,TRUE
MYH11,ENSG00000133392.12,NM_002474.2,16,R,15797028,15950890,p13.11,2.148196062,1.338568167,TRUE,18,10,15,30,0,23,0.103724048,0.000742598,0.523292119,0.213583506,0.042043726,1,0.23255814,0,0.348837209,0.433962264,TRUE
NLRC5,ENSG00000140853.11,NM_032206.4,16,F,57023396,57117443,q13,2.342262314,1.689597424,TRUE,17,21,5,37,6,10,0.035277374,0.000124373,0.490881216,0.099661857,0.042043726,1,0.488372093,0.113207547,0.11627907,0.188679245,TRUE
