"gene_name","entrez_id","gene_chromosome","gene_strand","gene_start","gene_end","cis_start","cis_end","sample","is_nepc","has_rnaseq","rnaseq_id","has_fusion","insertion_chr","insertion_start","insertion_end","insertion_midpoint","read_count","insertion_strand","distance_to_gene","is_distant","is_exonic","is_same_strand","classification","tss_position","distance_from_tss","is_promoter_proximal","intron_number","pct_into_transcript","is_early_intronic","sb_mechanism"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"N3-c-28",FALSE,FALSE,NA,FALSE,"chr16",17461050,17461150,17461100,12598,"-",28511,TRUE,FALSE,FALSE,"distant",17489611,-28511,FALSE,NA,-159.51,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"B3-c-28",FALSE,FALSE,NA,FALSE,"chr16",17463150,17463250,17463200,1109,"-",26411,TRUE,FALSE,FALSE,"distant",17489611,-26411,FALSE,NA,-147.76,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"N3-c-14",FALSE,FALSE,NA,FALSE,"chr16",17466050,17466150,17466100,2199,"+",23511,TRUE,FALSE,TRUE,"distant",17489611,-23511,FALSE,NA,-131.54,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"B3-8",FALSE,FALSE,NA,FALSE,"chr16",17470750,17470850,17470800,6650,"-",18811,TRUE,FALSE,FALSE,"distant",17489611,-18811,FALSE,NA,-105.24,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"N3-8",FALSE,FALSE,NA,FALSE,"chr16",17470850,17470950,17470900,2278,"-",18711,TRUE,FALSE,FALSE,"distant",17489611,-18711,FALSE,NA,-104.68,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"N3-3",FALSE,FALSE,NA,FALSE,"chr16",17480050,17480150,17480100,569,"+",9511,TRUE,FALSE,TRUE,"distant",17489611,-9511,FALSE,NA,-53.21,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"B3-2-22",TRUE,TRUE,"CMZ347",FALSE,"chr16",17485650,17485750,17485700,2731,"+",3911,TRUE,FALSE,TRUE,"distant",17489611,-3911,FALSE,NA,-21.88,FALSE,"disruption"
"Aifm3","72168","chr16","+",17489611,17507485,17461100,17500100,"N3-2-22",TRUE,TRUE,"CMZ347",FALSE,"chr16",17485650,17485750,17485700,11546,"+",3911,TRUE,FALSE,TRUE,"distant",17489611,-3911,FALSE,NA,-21.88,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"B-A08",TRUE,FALSE,NA,FALSE,"chr4",133693950,133694050,133694000,3185,"+",0,FALSE,TRUE,TRUE,"exonic_same",133756769,62769,FALSE,NA,80.72,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"N-A08",TRUE,FALSE,NA,FALSE,"chr4",133693950,133694050,133694000,2366,"+",0,FALSE,TRUE,TRUE,"exonic_same",133756769,62769,FALSE,NA,80.72,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"B-B09",TRUE,TRUE,"CMZ104",FALSE,"chr4",133710450,133710550,133710500,45365,"-",0,FALSE,FALSE,FALSE,"intronic_opposite",133756769,46269,FALSE,10,59.5,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"B-A10",FALSE,TRUE,"CMZ184",FALSE,"chr4",133711750,133711850,133711800,2213,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,44969,FALSE,10,57.83,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"N-A10",FALSE,TRUE,"CMZ184",FALSE,"chr4",133711750,133711850,133711800,576,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,44969,FALSE,10,57.83,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"N3-7",FALSE,FALSE,NA,FALSE,"chr4",133720150,133720250,133720200,2030,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,36569,FALSE,8,47.03,FALSE,"disruption"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"B-B09",TRUE,TRUE,"CMZ104",FALSE,"chr4",133724450,133724550,133724500,11019,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,32269,FALSE,3,41.5,TRUE,"activation"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"N-B09",TRUE,TRUE,"CMZ104",FALSE,"chr4",133724450,133724550,133724500,16378,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,32269,FALSE,3,41.5,TRUE,"activation"
"Arid1a","93760","chr4","-",133679008,133756769,133694000,133733000,"N3-5",FALSE,FALSE,NA,FALSE,"chr4",133726550,133726650,133726600,830,"+",0,FALSE,FALSE,TRUE,"intronic_same",133756769,30169,FALSE,3,38.8,TRUE,"activation"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N3-c-28",FALSE,FALSE,NA,FALSE,"chr18",35555950,35556050,35556000,1789,"-",273397,TRUE,FALSE,FALSE,"distant",35829397,-273397,FALSE,NA,-846.67,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B3-7",FALSE,FALSE,NA,FALSE,"chr18",35569650,35569750,35569700,1193,"+",259697,TRUE,FALSE,TRUE,"distant",35829397,-259697,FALSE,NA,-804.24,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B-A10",FALSE,TRUE,"CMZ184",FALSE,"chr18",35571650,35571750,35571700,4917,"+",257697,TRUE,FALSE,TRUE,"distant",35829397,-257697,FALSE,NA,-798.05,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-A10",FALSE,TRUE,"CMZ184",FALSE,"chr18",35571650,35571750,35571700,1946,"+",257697,TRUE,FALSE,TRUE,"distant",35829397,-257697,FALSE,NA,-798.05,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B-A01",TRUE,TRUE,"CMZ110,CMZ355",FALSE,"chr18",35576150,35576250,35576200,3214,"+",253197,TRUE,FALSE,TRUE,"distant",35829397,-253197,FALSE,NA,-784.11,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-A01",TRUE,TRUE,"CMZ110,CMZ355",FALSE,"chr18",35576150,35576250,35576200,8152,"+",253197,TRUE,FALSE,TRUE,"distant",35829397,-253197,FALSE,NA,-784.11,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B3-c-10",TRUE,FALSE,NA,FALSE,"chr18",35577350,35577450,35577400,1648,"+",251997,TRUE,FALSE,TRUE,"distant",35829397,-251997,FALSE,NA,-780.39,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-1-4",FALSE,FALSE,NA,FALSE,"chr18",35603650,35603750,35603700,198,"+",225697,TRUE,FALSE,TRUE,"distant",35829397,-225697,FALSE,NA,-698.95,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-B03",FALSE,TRUE,"CMZ183",FALSE,"chr18",35612050,35612150,35612100,3638,"+",217297,TRUE,FALSE,TRUE,"distant",35829397,-217297,FALSE,NA,-672.93,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N3-2-7",TRUE,FALSE,NA,FALSE,"chr18",35788950,35789050,35789000,1160,"-",40397,TRUE,FALSE,FALSE,"distant",35829397,-40397,FALSE,NA,-125.1,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B3-2-7",TRUE,FALSE,NA,FALSE,"chr18",35788950,35789050,35789000,1029,"-",40397,TRUE,FALSE,FALSE,"distant",35829397,-40397,FALSE,NA,-125.1,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B3-1",FALSE,FALSE,NA,FALSE,"chr18",35798350,35798450,35798400,809,"+",30997,TRUE,FALSE,TRUE,"distant",35829397,-30997,FALSE,NA,-95.99,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"B3-5",FALSE,FALSE,NA,FALSE,"chr18",35798850,35798950,35798900,201,"+",30497,TRUE,FALSE,TRUE,"distant",35829397,-30497,FALSE,NA,-94.44,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-A08",TRUE,FALSE,NA,FALSE,"chr18",35800950,35801050,35801000,958,"-",28397,TRUE,FALSE,FALSE,"distant",35829397,-28397,FALSE,NA,-87.94,FALSE,"disruption"
"Cxxc5","67393","chr18","+",35829397,35861688,35556000,35823000,"N-B11",TRUE,TRUE,"CMZ105",FALSE,"chr18",35800950,35801050,35801000,23874,"-",28397,TRUE,FALSE,FALSE,"distant",35829397,-28397,FALSE,NA,-87.94,FALSE,"disruption"
