gene_name,sample,is_nepc,overlap_type,insertion_chr,insertion_start,insertion_end,cis_start,cis_end,fusion_chr,fusion_start,fusion_end,fusion_score,fusion_chrSB_region,classification,sb_mechanism
1810010H24Rik,CMZ347,TRUE,cis,chr11,106828050,106828150,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
1810010H24Rik,CMZ347,TRUE,cis,chr11,106906150,106906250,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
1810010H24Rik,CMZ347,TRUE,insertion,chr11,106828050,106828150,106828100,107095100,chr11,106827750,106828050,218,3-flank,distant,disruption
Bptf,CMZ347,TRUE,cis,chr11,106828050,106828150,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Bptf,CMZ347,TRUE,cis,chr11,106906150,106906250,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Bptf,CMZ347,TRUE,insertion,chr11,106828050,106828150,106828100,107095100,chr11,106827750,106828050,218,3-flank,distant,disruption
Cep95,CMZ347,TRUE,cis,chr11,106828050,106828150,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Cep95,CMZ347,TRUE,cis,chr11,106906150,106906250,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Cep95,CMZ347,TRUE,insertion,chr11,106828050,106828150,106828100,107095100,chr11,106827750,106828050,218,3-flank,distant,disruption
Dnajc1,CMZ345,TRUE,insertion,chr2,18136950,18137050,18120200,18190200,chr2,18136650,18136950,229,3-flank,distant,disruption
Kpna2,CMZ347,TRUE,cis,chr11,106828050,106828150,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Kpna2,CMZ347,TRUE,cis,chr11,106906150,106906250,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,distant,disruption
Kpna2,CMZ347,TRUE,insertion,chr11,106828050,106828150,106828100,107095100,chr11,106827750,106828050,218,3-flank,distant,disruption
Mllt10,CMZ345,TRUE,insertion,chr2,18136950,18137050,18120200,18190200,chr2,18136650,18136950,229,3-flank,intronic_opposite,disruption
Smurf2,CMZ347,TRUE,gene,chr11,106828050,106828150,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,intronic_same,disruption
Smurf2,CMZ347,TRUE,gene,chr11,106906150,106906250,106828100,107095100,chr11,106828350,106828650,144,MSCV-LTR,intronic_opposite,disruption
Smurf2,CMZ347,TRUE,insertion,chr11,106828050,106828150,106828100,107095100,chr11,106827750,106828050,218,3-flank,intronic_same,disruption
Smurf2,CMZ347,TRUE,gene,chr11,106906150,106906250,106828100,107095100,chr11,106827750,106828050,218,3-flank,intronic_opposite,disruption
Tcf12,CMZ345,TRUE,insertion,chr9,72056850,72056950,71900400,72108400,chr9,72056550,72056850,181,5-flank,intronic_opposite,disruption
